Resource ID,Disaster ID,Resource Type,Quantity,Cost (USD),Deployment Date,Location,Status
R-5357,D-2781,Medical Kits,190,43477.18,9/7/2013,Satara,Allocated
R-5358,D-1478,Shelter,961,10884.73,5/20/2018,Aurangabad,Pending
R-5359,D-1885,Medical Kits,36,12585.7,7/15/2023,Pune,Allocated
R-5360,D-2395,Clothing,836,18926.8,9/30/2021,Nagpur,Pending
R-5361,D-1358,Clothing,513,10297.32,8/4/2020,Ratnagiri,Used
R-5362,D-2255,Clothing,785,39428.98,8/5/2019,Pune,Pending
R-5363,D-2470,Water,177,19139.64,6/24/2018,Thane,Pending
R-5364,D-1763,Water,707,41218.2,3/22/2008,Mumbai,Allocated
R-5365,D-2802,Rescue Equipment,93,12472.75,7/13/2016,Ratnagiri,Pending
R-5366,D-2525,Food,456,30847.82,1/4/2021,Mumbai,Pending
R-5367,D-1256,Medical Kits,720,27548.31,4/23/2004,Thane,Pending
R-5368,D-2664,Medical Kits,772,2273.54,5/16/2005,Nagpur,Used
R-5369,D-2719,Clothing,693,42886.79,12/13/2017,Pune,Allocated
R-5370,D-1961,Medical Kits,873,38781.27,5/23/2017,Mumbai,Pending
R-5371,D-1195,Shelter,722,15066.55,2/26/2005,Mumbai,Allocated
R-5372,D-1058,Water,571,46785.5,6/15/2019,Nashik,Pending
R-5373,D-2689,Food,294,34085.82,7/19/2007,Mumbai,Pending
R-5374,D-2944,Clothing,873,34183.53,6/2/2010,Mumbai,Pending
R-5375,D-1871,Medical Kits,427,19190.75,5/30/2017,Satara,Allocated
R-5376,D-2589,Clothing,925,20812.84,6/8/2010,Nashik,Pending
R-5377,D-2563,Water,719,36233.74,5/2/2021,Satara,Pending
R-5378,D-1766,Medical Kits,254,38896.61,3/9/2011,Solapur,Used
R-5379,D-1408,Medical Kits,137,32866.0,6/18/2020,Ratnagiri,Pending
R-5380,D-2072,Food,548,5361.94,5/29/2017,Nashik,Allocated
R-5381,D-1719,Food,645,40053.2,10/21/2009,Nagpur,Used
R-5382,D-1953,Medical Kits,666,35183.58,6/24/2004,Kolhapur,Allocated
R-5383,D-1171,Clothing,443,45706.67,11/18/2006,Solapur,Allocated
R-5384,D-1437,Shelter,938,30578.69,11/19/2008,Aurangabad,Used
R-5385,D-2946,Rescue Equipment,787,36224.62,5/17/2023,Aurangabad,Used
R-5386,D-2933,Shelter,361,29902.52,5/23/2005,Nashik,Allocated
R-5387,D-2521,Clothing,787,1391.46,6/10/2009,Aurangabad,Pending
R-5388,D-1087,Shelter,838,15583.3,1/17/2015,Aurangabad,Used
R-5389,D-2824,Food,760,13384.32,5/26/2022,Solapur,Pending
R-5390,D-1433,Clothing,372,41266.62,11/3/2012,Satara,Pending
R-5391,D-2224,Rescue Equipment,54,12410.24,4/22/2004,Ratnagiri,Used
R-5392,D-2414,Clothing,757,26831.8,11/18/2009,Ratnagiri,Pending
R-5393,D-2335,Water,252,43178.1,1/11/2007,Satara,Allocated
R-5394,D-2536,Clothing,977,29580.7,2/12/2019,Nagpur,Allocated
R-5395,D-1333,Medical Kits,238,35172.81,1/9/2012,Aurangabad,Pending
R-5396,D-2122,Shelter,112,4606.65,6/7/2008,Thane,Pending
R-5397,D-2633,Medical Kits,809,11627.5,8/10/2023,Pune,Pending
R-5398,D-1710,Shelter,308,31363.86,11/25/2022,Thane,Used
R-5399,D-2928,Medical Kits,293,35163.95,8/11/2021,Kolhapur,Used
R-5400,D-2865,Shelter,504,20313.91,12/16/2018,Solapur,Used
R-5401,D-2905,Rescue Equipment,538,20365.32,1/20/2012,Mumbai,Used
R-5402,D-1401,Medical Kits,835,12533.07,6/25/2023,Nagpur,Pending
R-5403,D-1117,Medical Kits,459,39581.51,7/23/2004,Aurangabad,Used
R-5404,D-2246,Medical Kits,159,28854.29,8/4/2010,Satara,Used
R-5405,D-2964,Shelter,628,5001.92,5/30/2009,Ratnagiri,Allocated
R-5406,D-2118,Medical Kits,711,48258.45,1/29/2008,Kolhapur,Allocated
R-5407,D-1310,Medical Kits,674,20844.07,9/6/2017,Pune,Allocated
R-5408,D-1245,Water,460,900.61,3/12/2021,Kolhapur,Used
R-5409,D-1183,Food,546,43202.41,6/25/2010,Pune,Used
R-5410,D-1170,Food,479,13629.33,4/20/2020,Nagpur,Pending
R-5411,D-2794,Clothing,928,17435.98,4/3/2022,Ratnagiri,Pending
R-5412,D-1121,Water,984,29592.88,3/6/2006,Satara,Allocated
R-5413,D-1764,Rescue Equipment,110,27711.51,12/16/2019,Thane,Allocated
R-5414,D-1599,Shelter,844,49904.74,5/30/2021,Thane,Allocated
R-5415,D-1284,Medical Kits,201,15513.15,2/20/2006,Solapur,Allocated
R-5416,D-2296,Clothing,265,34089.02,5/31/2022,Mumbai,Used
R-5417,D-2110,Medical Kits,943,1051.87,1/7/2012,Solapur,Allocated
R-5418,D-2276,Shelter,568,13688.4,11/25/2004,Pune,Pending
R-5419,D-2274,Rescue Equipment,434,14759.33,9/28/2012,Ratnagiri,Used
R-5420,D-2319,Food,221,16312.12,3/2/2005,Thane,Used
R-5421,D-1159,Food,598,48720.83,8/17/2018,Pune,Used
R-5422,D-2168,Food,755,17751.13,12/25/2004,Mumbai,Allocated
R-5423,D-1618,Medical Kits,387,35508.17,2/14/2008,Ratnagiri,Used
R-5424,D-1392,Food,12,29144.2,4/2/2020,Nagpur,Allocated
R-5425,D-2681,Rescue Equipment,27,25785.01,7/19/2018,Satara,Used
R-5426,D-2465,Clothing,509,17391.3,12/5/2016,Thane,Pending
R-5427,D-2919,Rescue Equipment,774,6128.19,3/7/2009,Solapur,Allocated
R-5428,D-2788,Rescue Equipment,225,15324.82,9/17/2009,Kolhapur,Allocated
R-5429,D-1067,Water,123,10046.32,1/4/2016,Ratnagiri,Pending
R-5430,D-1212,Shelter,374,36941.47,1/25/2014,Pune,Allocated
R-5431,D-1397,Medical Kits,396,42579.82,1/19/2013,Kolhapur,Allocated
R-5432,D-1053,Food,843,29149.61,7/7/2022,Thane,Allocated
R-5433,D-2234,Shelter,249,5674.19,9/15/2019,Aurangabad,Used
R-5434,D-2304,Rescue Equipment,86,22796.7,3/29/2012,Mumbai,Allocated
R-5435,D-1992,Shelter,190,33553.98,11/22/2017,Satara,Allocated
R-5436,D-2875,Food,808,13663.12,5/19/2008,Ratnagiri,Used
R-5437,D-1981,Shelter,660,271.13,8/18/2021,Mumbai,Pending
R-5438,D-1424,Food,866,19825.55,4/29/2009,Satara,Pending
R-5439,D-2674,Water,855,34401.7,2/23/2009,Satara,Pending
R-5440,D-1539,Rescue Equipment,306,5418.38,3/16/2014,Thane,Allocated
R-5441,D-1567,Food,834,40419.27,5/4/2010,Aurangabad,Pending
R-5442,D-2607,Rescue Equipment,719,23231.57,12/28/2018,Kolhapur,Allocated
R-5443,D-2636,Water,925,21072.21,7/21/2005,Ratnagiri,Allocated
R-5444,D-2128,Shelter,91,12523.8,4/3/2018,Satara,Used
R-5445,D-2187,Water,48,12345.72,3/27/2020,Solapur,Used
R-5446,D-1480,Clothing,875,9959.02,10/1/2021,Satara,Pending
R-5447,D-1335,Medical Kits,730,31662.82,8/22/2011,Ratnagiri,Allocated
R-5448,D-1506,Clothing,227,48592.3,7/26/2018,Nashik,Allocated
R-5449,D-1823,Clothing,375,23128.21,9/21/2019,Kolhapur,Allocated
R-5450,D-2756,Water,206,6535.99,5/21/2017,Pune,Used
R-5451,D-2511,Water,700,23691.65,7/12/2006,Satara,Used
R-5452,D-1403,Food,572,18963.41,6/9/2009,Pune,Allocated
R-5453,D-1803,Food,449,22220.82,9/9/2020,Solapur,Pending
R-5454,D-2432,Medical Kits,270,41294.17,9/22/2007,Kolhapur,Pending
R-5455,D-2422,Rescue Equipment,791,30342.29,8/25/2008,Ratnagiri,Allocated
R-5456,D-1457,Clothing,686,40188.28,8/29/2007,Thane,Used
R-5457,D-2227,Shelter,865,49614.16,4/9/2007,Solapur,Allocated
R-5458,D-1136,Water,60,1604.11,12/14/2016,Nashik,Pending
R-5459,D-2882,Food,597,7058.86,11/16/2017,Thane,Used
R-5460,D-2726,Shelter,997,30529.68,8/25/2022,Mumbai,Pending
R-5461,D-1243,Clothing,527,7288.33,4/17/2013,Aurangabad,Allocated
R-5462,D-1277,Water,341,10939.26,1/9/2006,Solapur,Allocated
R-5463,D-1614,Rescue Equipment,444,27724.05,3/15/2005,Solapur,Used
R-5464,D-2568,Water,539,46113.48,10/9/2009,Pune,Allocated
R-5465,D-2219,Water,909,42133.2,7/9/2010,Mumbai,Allocated
R-5466,D-2158,Shelter,295,3373.38,9/6/2006,Nagpur,Used
R-5467,D-1349,Food,400,707.78,12/20/2019,Ratnagiri,Allocated
R-5468,D-2800,Rescue Equipment,760,41941.65,5/24/2019,Aurangabad,Pending
R-5469,D-1385,Food,327,9184.68,11/4/2013,Nagpur,Used
R-5470,D-2088,Clothing,582,28147.26,10/12/2007,Pune,Used
R-5471,D-2919,Water,251,12935.02,9/23/2006,Thane,Used
R-5472,D-1243,Clothing,925,17085.43,3/24/2007,Thane,Used
R-5473,D-1450,Medical Kits,340,30916.81,12/22/2008,Aurangabad,Used
R-5474,D-2332,Water,672,43178.89,10/15/2008,Pune,Used
R-5475,D-1709,Clothing,607,8917.2,11/20/2020,Solapur,Pending
R-5476,D-2181,Clothing,233,11622.49,3/3/2022,Aurangabad,Allocated
R-5477,D-1418,Food,351,13333.17,3/26/2021,Nagpur,Pending
R-5478,D-1776,Clothing,40,15949.72,1/1/2014,Solapur,Pending
R-5479,D-1645,Shelter,657,10964.47,5/26/2008,Ratnagiri,Pending
R-5480,D-1570,Shelter,168,13164.78,10/1/2004,Aurangabad,Used
R-5481,D-2774,Food,519,30170.07,11/25/2019,Aurangabad,Allocated
R-5482,D-2014,Food,467,15317.74,8/22/2013,Nashik,Used
R-5483,D-2406,Medical Kits,446,25323.49,4/4/2008,Aurangabad,Allocated
R-5484,D-1703,Clothing,12,27683.86,5/6/2007,Nagpur,Pending
R-5485,D-2645,Medical Kits,453,49105.44,11/9/2004,Nashik,Used
R-5486,D-2016,Medical Kits,234,40771.8,4/16/2023,Pune,Allocated
R-5487,D-2254,Medical Kits,777,124.33,11/28/2017,Nagpur,Used
R-5488,D-2218,Medical Kits,129,30534.22,4/15/2008,Kolhapur,Pending
R-5489,D-1048,Rescue Equipment,232,19858.24,6/7/2005,Ratnagiri,Pending
R-5490,D-1022,Shelter,515,3141.32,2/29/2016,Aurangabad,Used
R-5491,D-2091,Food,480,33810.01,3/25/2017,Nashik,Pending
R-5492,D-2101,Water,203,40601.78,5/27/2018,Nagpur,Pending
R-5493,D-1143,Shelter,468,43516.23,7/21/2006,Thane,Used
R-5494,D-2809,Water,31,41516.91,4/7/2013,Kolhapur,Allocated
R-5495,D-1466,Clothing,416,40101.81,7/11/2016,Kolhapur,Allocated
R-5496,D-2509,Food,893,22170.21,8/26/2016,Nashik,Pending
R-5497,D-2804,Shelter,549,22393.67,2/2/2013,Solapur,Allocated
R-5498,D-2552,Clothing,433,12843.44,12/13/2010,Nagpur,Used
R-5499,D-2004,Rescue Equipment,827,31414.64,7/23/2008,Kolhapur,Pending
R-5500,D-2848,Medical Kits,701,17730.88,6/29/2009,Aurangabad,Used
R-5501,D-2386,Shelter,158,8486.89,3/18/2015,Kolhapur,Pending
R-5502,D-2456,Food,530,29921.56,11/8/2011,Thane,Used
R-5503,D-2419,Clothing,227,42967.4,10/14/2021,Nashik,Used
R-5504,D-1423,Rescue Equipment,148,34413.89,5/16/2020,Aurangabad,Pending
R-5505,D-1396,Clothing,245,26631.81,1/27/2021,Ratnagiri,Used
R-5506,D-2701,Clothing,708,33277.51,6/12/2016,Mumbai,Pending
R-5507,D-2790,Shelter,914,33774.89,3/31/2020,Pune,Used
R-5508,D-1343,Shelter,726,12622.26,1/13/2017,Aurangabad,Used
R-5509,D-2738,Food,283,32670.52,2/21/2014,Mumbai,Used
R-5510,D-1252,Shelter,259,26394.03,12/20/2022,Satara,Used
R-5511,D-2021,Food,324,49435.7,11/1/2021,Satara,Used
R-5512,D-2178,Shelter,320,5181.14,4/13/2005,Nashik,Pending
R-5513,D-2076,Water,407,34151.31,3/30/2014,Thane,Pending
R-5514,D-1649,Medical Kits,219,25151.82,2/5/2005,Kolhapur,Used
R-5515,D-2526,Clothing,165,9601.65,4/7/2005,Solapur,Pending
R-5516,D-1904,Clothing,150,20699.17,6/21/2018,Mumbai,Allocated
R-5517,D-2319,Medical Kits,902,27919.55,4/5/2005,Mumbai,Pending
R-5518,D-2635,Food,281,36179.32,3/18/2020,Ratnagiri,Pending
R-5519,D-1866,Shelter,126,24928.12,6/4/2018,Satara,Allocated
R-5520,D-2614,Medical Kits,633,15476.74,7/10/2022,Mumbai,Allocated
R-5521,D-2947,Shelter,954,29825.25,10/19/2004,Nashik,Allocated
R-5522,D-1311,Rescue Equipment,611,17160.73,7/8/2016,Nagpur,Used
R-5523,D-2184,Shelter,701,37587.61,5/21/2015,Nashik,Allocated
R-5524,D-2313,Food,531,1616.39,7/15/2009,Nashik,Used
R-5525,D-2211,Food,319,29570.94,2/16/2004,Nagpur,Used
R-5526,D-1903,Medical Kits,752,39490.44,3/3/2010,Thane,Pending
R-5527,D-2647,Rescue Equipment,338,8172.19,9/16/2016,Nagpur,Used
R-5528,D-2002,Shelter,217,43686.74,4/22/2012,Solapur,Pending
R-5529,D-2022,Food,715,47728.41,6/21/2020,Solapur,Pending
R-5530,D-1379,Shelter,943,1840.79,12/5/2017,Kolhapur,Pending
R-5531,D-1919,Rescue Equipment,981,13476.68,4/17/2010,Solapur,Allocated
R-5532,D-1393,Medical Kits,738,5144.02,11/6/2007,Kolhapur,Pending
R-5533,D-1616,Rescue Equipment,157,33115.95,2/11/2015,Solapur,Pending
R-5534,D-1790,Clothing,439,39240.28,5/25/2008,Thane,Allocated
R-5535,D-2863,Clothing,312,36208.69,3/19/2005,Satara,Used
R-5536,D-2256,Shelter,930,11127.64,12/23/2022,Kolhapur,Used
R-5537,D-2610,Clothing,878,42565.6,4/13/2020,Pune,Pending
R-5538,D-1216,Clothing,805,38336.8,4/15/2018,Aurangabad,Used
R-5539,D-2610,Rescue Equipment,117,42630.73,8/28/2023,Ratnagiri,Pending
R-5540,D-1270,Rescue Equipment,328,25948.25,12/27/2013,Ratnagiri,Used
R-5541,D-1546,Rescue Equipment,571,8720.72,6/23/2017,Kolhapur,Allocated
R-5542,D-1123,Medical Kits,767,13862.86,10/8/2018,Nashik,Used
R-5543,D-1146,Shelter,931,24889.87,7/9/2005,Aurangabad,Allocated
R-5544,D-2570,Medical Kits,127,8129.4,12/3/2004,Aurangabad,Pending
R-5545,D-1025,Medical Kits,964,46599.37,4/12/2010,Mumbai,Allocated
R-5546,D-1506,Clothing,752,31314.98,2/20/2009,Thane,Allocated
R-5547,D-1666,Clothing,265,10756.25,3/7/2020,Pune,Used
R-5548,D-1275,Food,978,13283.95,3/3/2014,Pune,Pending
R-5549,D-2357,Water,520,21843.03,11/17/2016,Solapur,Used
R-5550,D-2464,Shelter,38,491.71,1/27/2015,Satara,Pending
R-5551,D-2199,Food,618,27618.6,12/3/2006,Pune,Pending
R-5552,D-2931,Water,77,20600.42,2/12/2021,Nashik,Used
R-5553,D-1671,Clothing,593,13193.73,5/11/2008,Aurangabad,Used
R-5554,D-2904,Medical Kits,919,48241.25,9/13/2010,Kolhapur,Allocated
R-5555,D-2688,Medical Kits,524,27360.33,4/24/2018,Thane,Used
R-5556,D-2699,Food,887,8671.61,7/6/2019,Thane,Allocated
R-5557,D-1832,Rescue Equipment,626,28364.01,5/25/2023,Nagpur,Allocated
R-5558,D-1873,Medical Kits,389,38164.11,5/28/2017,Aurangabad,Pending
R-5559,D-1225,Medical Kits,789,30875.59,4/2/2018,Solapur,Pending
R-5560,D-2281,Rescue Equipment,632,21997.44,4/18/2009,Satara,Allocated
R-5561,D-2557,Water,728,40413.2,6/4/2010,Ratnagiri,Used
R-5562,D-1060,Rescue Equipment,216,10266.55,6/12/2020,Nashik,Pending
R-5563,D-1254,Shelter,540,4896.23,3/18/2006,Ratnagiri,Pending
R-5564,D-2167,Water,719,38928.78,1/31/2017,Satara,Used
R-5565,D-2625,Shelter,106,46530.63,8/8/2009,Kolhapur,Used
R-5566,D-2683,Clothing,112,16707.47,5/17/2014,Thane,Used
R-5567,D-2923,Shelter,283,30072.67,10/19/2009,Satara,Pending
R-5568,D-1832,Clothing,421,41131.16,10/4/2010,Nagpur,Pending
R-5569,D-2885,Shelter,404,36088.22,11/16/2005,Mumbai,Allocated
R-5570,D-1206,Shelter,361,39662.22,8/13/2011,Satara,Used
R-5571,D-1666,Clothing,250,26247.0,1/4/2009,Solapur,Allocated
R-5572,D-2987,Food,553,43733.19,2/27/2007,Mumbai,Allocated
R-5573,D-2394,Water,919,36437.82,2/19/2021,Solapur,Used
R-5574,D-1986,Rescue Equipment,871,49584.64,7/27/2020,Ratnagiri,Pending
R-5575,D-1757,Shelter,415,42532.09,11/27/2009,Thane,Used
R-5576,D-2128,Medical Kits,215,45224.96,1/2/2004,Ratnagiri,Allocated
R-5577,D-1465,Medical Kits,150,47522.78,9/13/2013,Aurangabad,Allocated
R-5578,D-1220,Water,441,34395.32,4/27/2011,Mumbai,Allocated
R-5579,D-2727,Clothing,850,38507.35,8/28/2013,Mumbai,Allocated
R-5580,D-2708,Food,25,32212.76,6/8/2018,Aurangabad,Used
R-5581,D-1965,Clothing,365,19627.85,12/17/2006,Solapur,Used
R-5582,D-1096,Shelter,433,7499.86,8/4/2017,Pune,Used
R-5583,D-1377,Medical Kits,301,19776.9,9/19/2018,Aurangabad,Used
R-5584,D-2021,Food,318,32659.24,9/7/2007,Ratnagiri,Used
R-5585,D-2152,Medical Kits,965,47198.51,6/14/2020,Aurangabad,Used
R-5586,D-2157,Rescue Equipment,851,19434.82,9/16/2010,Kolhapur,Allocated
R-5587,D-1397,Medical Kits,662,4143.67,4/2/2007,Nagpur,Pending
R-5588,D-1414,Rescue Equipment,739,30232.36,7/20/2005,Satara,Pending
R-5589,D-2544,Rescue Equipment,188,34352.0,5/25/2017,Solapur,Pending
R-5590,D-1660,Food,797,6966.91,5/5/2011,Pune,Pending
R-5591,D-1673,Food,901,49400.7,8/24/2014,Solapur,Pending
R-5592,D-2016,Food,357,5904.99,2/12/2005,Satara,Allocated
R-5593,D-2021,Rescue Equipment,509,47195.06,9/6/2012,Kolhapur,Allocated
R-5594,D-2829,Water,952,34121.37,3/4/2009,Satara,Used
R-5595,D-2645,Rescue Equipment,419,24342.31,6/23/2022,Kolhapur,Pending
R-5596,D-2127,Food,612,25610.24,5/7/2007,Nagpur,Pending
R-5597,D-2258,Shelter,536,20477.16,6/6/2013,Satara,Used
R-5598,D-2595,Clothing,712,1746.22,6/28/2022,Nashik,Used
R-5599,D-1795,Shelter,125,7762.44,7/18/2016,Mumbai,Pending
R-5600,D-2165,Clothing,19,20051.38,1/25/2019,Satara,Allocated
R-5601,D-1873,Shelter,472,42809.31,12/5/2010,Ratnagiri,Pending
R-5602,D-2444,Water,926,32796.45,6/17/2012,Ratnagiri,Allocated
R-5603,D-1391,Medical Kits,644,15552.22,1/8/2006,Pune,Pending
R-5604,D-1354,Medical Kits,161,39534.09,7/18/2011,Ratnagiri,Pending
R-5605,D-2188,Shelter,487,3954.78,12/21/2008,Thane,Allocated
R-5606,D-2686,Shelter,523,38820.42,3/28/2022,Solapur,Used
R-5607,D-2264,Water,989,27017.86,2/24/2016,Kolhapur,Used
R-5608,D-1108,Rescue Equipment,899,16379.97,11/13/2019,Solapur,Pending
R-5609,D-1757,Medical Kits,63,1726.68,2/17/2015,Nagpur,Pending
R-5610,D-1790,Clothing,784,18459.72,11/19/2020,Mumbai,Allocated
R-5611,D-2462,Food,815,39241.0,6/28/2006,Kolhapur,Allocated
R-5612,D-1399,Shelter,344,15192.91,11/6/2015,Thane,Used
R-5613,D-1800,Rescue Equipment,60,36492.26,10/25/2020,Pune,Used
R-5614,D-1359,Food,561,9163.74,2/15/2021,Ratnagiri,Allocated
R-5615,D-2926,Shelter,392,45711.89,10/17/2006,Ratnagiri,Used
R-5616,D-1448,Medical Kits,785,9366.75,9/11/2022,Mumbai,Used
R-5617,D-1029,Food,484,16089.82,12/19/2023,Aurangabad,Used
R-5618,D-1673,Shelter,367,24876.37,3/9/2010,Nagpur,Allocated
R-5619,D-1350,Medical Kits,591,4898.61,10/5/2015,Aurangabad,Pending
R-5620,D-1902,Clothing,420,17226.02,9/17/2012,Nashik,Allocated
R-5621,D-1625,Food,571,14974.36,12/29/2021,Satara,Allocated
R-5622,D-1287,Clothing,429,29358.2,12/1/2021,Ratnagiri,Pending
R-5623,D-2639,Rescue Equipment,133,8639.06,3/5/2020,Kolhapur,Allocated
R-5624,D-1694,Clothing,942,10322.77,8/11/2021,Nashik,Allocated
R-5625,D-1442,Rescue Equipment,907,44242.51,8/27/2017,Ratnagiri,Used
R-5626,D-2743,Rescue Equipment,904,48335.84,11/13/2015,Mumbai,Used
R-5627,D-1810,Water,182,44277.75,7/19/2008,Nagpur,Allocated
R-5628,D-1492,Shelter,791,43782.09,7/3/2021,Thane,Allocated
R-5629,D-1450,Rescue Equipment,847,4529.95,10/18/2019,Mumbai,Used
R-5630,D-1080,Food,266,22747.62,2/9/2005,Ratnagiri,Allocated
R-5631,D-1957,Medical Kits,313,38754.62,2/9/2023,Aurangabad,Allocated
R-5632,D-1187,Water,565,39751.03,6/24/2017,Aurangabad,Used
R-5633,D-1253,Food,727,19844.06,1/10/2007,Nagpur,Allocated
R-5634,D-1018,Rescue Equipment,939,5730.98,3/11/2018,Nashik,Allocated
R-5635,D-1257,Food,108,31427.37,7/15/2022,Nashik,Used
R-5636,D-2241,Shelter,313,14929.37,7/29/2016,Pune,Used
R-5637,D-1856,Shelter,501,36390.68,11/7/2008,Pune,Used
R-5638,D-2810,Rescue Equipment,491,32086.74,8/25/2014,Solapur,Used
R-5639,D-2311,Clothing,570,33268.69,5/5/2008,Pune,Allocated
R-5640,D-1122,Food,621,37808.97,3/13/2013,Kolhapur,Pending
R-5641,D-1958,Rescue Equipment,148,10312.95,11/25/2013,Nagpur,Pending
R-5642,D-1093,Food,631,17015.24,12/30/2015,Nagpur,Used
R-5643,D-1479,Water,589,44617.45,4/29/2023,Pune,Allocated
R-5644,D-2752,Food,943,1035.09,4/9/2014,Mumbai,Pending
R-5645,D-2745,Food,905,25444.4,4/4/2010,Thane,Allocated
R-5646,D-1122,Water,112,43620.72,11/5/2023,Pune,Used
R-5647,D-1146,Shelter,890,20879.4,11/22/2013,Ratnagiri,Used
R-5648,D-1048,Food,554,47130.3,6/4/2013,Aurangabad,Pending
R-5649,D-2321,Medical Kits,145,38351.37,8/28/2021,Solapur,Allocated
R-5650,D-1082,Food,520,48352.56,5/9/2014,Mumbai,Used
R-5651,D-1346,Water,384,1082.43,9/6/2012,Aurangabad,Used
R-5652,D-1495,Medical Kits,591,9087.25,1/29/2014,Aurangabad,Allocated
R-5653,D-1941,Medical Kits,104,29891.98,8/15/2011,Kolhapur,Pending
R-5654,D-1874,Rescue Equipment,384,6140.22,8/14/2013,Nashik,Allocated
R-5655,D-1995,Water,642,7964.51,6/29/2005,Thane,Pending
R-5656,D-1386,Rescue Equipment,270,25460.26,3/12/2012,Thane,Used
R-5657,D-1308,Water,64,22092.06,6/30/2017,Satara,Allocated
R-5658,D-1965,Rescue Equipment,989,33799.82,10/9/2007,Satara,Allocated
R-5659,D-1078,Shelter,733,6559.05,7/29/2017,Ratnagiri,Pending
R-5660,D-1397,Medical Kits,719,44817.44,10/8/2016,Aurangabad,Allocated
R-5661,D-2738,Water,562,10636.35,4/29/2020,Nashik,Used
R-5662,D-2717,Clothing,483,21873.58,12/18/2014,Nashik,Allocated
R-5663,D-1300,Shelter,11,1238.81,7/4/2023,Solapur,Allocated
R-5664,D-1247,Clothing,210,17089.97,10/16/2023,Aurangabad,Allocated
R-5665,D-2533,Medical Kits,651,17707.81,8/24/2011,Nagpur,Allocated
R-5666,D-2969,Clothing,839,36164.21,9/7/2016,Nagpur,Pending
R-5667,D-2416,Food,772,8480.85,8/15/2014,Satara,Pending
R-5668,D-2136,Medical Kits,647,29201.15,7/5/2018,Aurangabad,Pending
R-5669,D-2902,Clothing,919,42268.29,2/13/2020,Mumbai,Allocated
R-5670,D-1563,Water,904,24520.93,7/9/2014,Ratnagiri,Used
R-5671,D-2346,Medical Kits,127,49100.11,11/5/2011,Solapur,Pending
R-5672,D-1119,Food,537,7210.57,9/13/2008,Kolhapur,Used
R-5673,D-2813,Rescue Equipment,21,44711.76,3/3/2015,Aurangabad,Used
R-5674,D-1992,Medical Kits,551,45536.69,12/3/2022,Solapur,Pending
R-5675,D-1813,Food,826,24697.79,2/9/2006,Solapur,Pending
R-5676,D-2525,Rescue Equipment,750,30044.17,10/21/2010,Thane,Pending
R-5677,D-1812,Food,802,44682.02,5/25/2010,Kolhapur,Used
R-5678,D-2589,Medical Kits,247,5476.45,1/30/2023,Pune,Used
R-5679,D-2407,Shelter,771,4544.25,6/14/2007,Pune,Pending
R-5680,D-2538,Water,429,29355.3,3/20/2019,Nashik,Used
R-5681,D-2649,Water,815,47867.8,2/28/2020,Satara,Used
R-5682,D-1566,Rescue Equipment,39,40248.59,5/21/2005,Ratnagiri,Allocated
R-5683,D-1758,Rescue Equipment,499,29686.56,4/18/2022,Pune,Pending
R-5684,D-1348,Clothing,272,9047.8,4/9/2017,Kolhapur,Pending
R-5685,D-2729,Shelter,457,1727.85,12/13/2010,Ratnagiri,Pending
R-5686,D-1424,Shelter,458,36877.53,1/14/2014,Solapur,Allocated
R-5687,D-2334,Shelter,258,3573.74,9/25/2004,Kolhapur,Used
R-5688,D-2219,Clothing,128,22030.6,1/13/2019,Kolhapur,Pending
R-5689,D-2861,Food,883,8033.84,9/17/2018,Mumbai,Allocated
R-5690,D-1258,Water,512,19077.95,9/6/2013,Thane,Pending
R-5691,D-1423,Water,242,2150.65,9/9/2014,Aurangabad,Used
R-5692,D-1513,Shelter,758,47877.18,7/8/2007,Nashik,Used
R-5693,D-2477,Food,194,48730.84,2/23/2015,Solapur,Used
R-5694,D-1991,Shelter,835,28409.1,4/28/2006,Thane,Allocated
R-5695,D-1413,Clothing,619,16634.81,12/15/2021,Satara,Used
R-5696,D-1199,Water,253,712.49,11/8/2010,Aurangabad,Pending
R-5697,D-1337,Rescue Equipment,818,49579.67,4/15/2008,Ratnagiri,Used
R-5698,D-2629,Clothing,412,48856.36,7/5/2006,Mumbai,Allocated
R-5699,D-1859,Clothing,190,6238.72,6/30/2006,Thane,Pending
R-5700,D-1763,Clothing,876,17242.45,9/4/2009,Kolhapur,Pending
R-5701,D-2630,Rescue Equipment,185,20683.23,12/16/2013,Satara,Allocated
R-5702,D-1781,Clothing,221,47158.94,12/17/2008,Thane,Pending
R-5703,D-1207,Shelter,938,38149.75,1/20/2015,Kolhapur,Used
R-5704,D-2256,Water,48,20161.55,10/4/2016,Aurangabad,Used
R-5705,D-2477,Shelter,981,10470.06,9/18/2004,Pune,Allocated
R-5706,D-1555,Medical Kits,534,44635.74,10/22/2005,Kolhapur,Used
R-5707,D-1003,Food,318,1202.18,5/25/2010,Solapur,Used
R-5708,D-2649,Shelter,52,38756.14,1/7/2019,Pune,Pending
R-5709,D-2372,Clothing,531,14061.92,1/15/2014,Mumbai,Pending
R-5710,D-2980,Clothing,996,34860.88,5/2/2008,Solapur,Used
R-5711,D-2008,Water,364,14316.84,5/22/2019,Thane,Pending
R-5712,D-2881,Shelter,566,8803.03,1/30/2009,Mumbai,Used
R-5713,D-2306,Shelter,279,7445.25,1/11/2016,Solapur,Pending
R-5714,D-2774,Food,514,17390.79,2/27/2019,Thane,Allocated
